Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	0	0	0
2001	1	1	0	0	0	3	1
2002	2	3	0	0	3	2	5
2003	10	10	7	1	2	6	6
2004	11	15	13	1	4	10	21
2005	24	15	19	1	2	29	35
2006	27	42	25	3	8	48	59
2007	34	8	17	4	37	17	9
2008	56	7	7	6	38	7	18
2009	7	6	9	9	281	6	28
2010	15	16	18	9	8	19	51
2011	15	26	8	104	51	51	62
2012	94	288	35	15	46	91	160
2013	127	384	27	14	18	382	287
2014	164	644	69	122	139	325	277
2015	20	34	17	4	6	17	48				
																																																		
